"","roll_belt","pitch_belt","yaw_belt","total_accel_belt","gyros_belt_x","gyros_belt_y","gyros_belt_z","accel_belt_x","accel_belt_y","accel_belt_z","magnet_belt_x","magnet_belt_y","magnet_belt_z","roll_arm","pitch_arm","yaw_arm","total_accel_arm","gyros_arm_x","gyros_arm_y","gyros_arm_z","accel_arm_x","accel_arm_y","accel_arm_z","magnet_arm_x","magnet_arm_y","magnet_arm_z","roll_dumbbell","pitch_dumbbell","yaw_dumbbell","total_accel_dumbbell","gyros_dumbbell_x","gyros_dumbbell_y","gyros_dumbbell_z","accel_dumbbell_x","accel_dumbbell_y","accel_dumbbell_z","magnet_dumbbell_x","magnet_dumbbell_y","magnet_dumbbell_z","roll_forearm","pitch_forearm","yaw_forearm","total_accel_forearm","gyros_forearm_x","gyros_forearm_y","gyros_forearm_z","accel_forearm_x","accel_forearm_y","accel_forearm_z","magnet_forearm_x","magnet_forearm_y","magnet_forearm_z","classe"
"2149",1.88,2.14,-88.7,3,-0.1,0.02,-0.03,-8,5,24,31,567,-435,72,0.71,96.2,29,-2.63,0.77,-0.84,-195,207,-4,-78,222,642,-104.5703112,-47.58429779,-20.50280673,4,0.13,-0.35,-0.21,-18,-34,-8,-459,218,285,-173,12.5,-60.7,29,-0.85,2.33,1.23,2,-213,189,305,-832,136,"A"
"4991",122,-43.5,172,18,0.14,0.11,-0.15,52,45,-158,167,601,-302,11.3,-9.33,-33.7,18,-1.04,-0.19,0.9,106,-95,-109,754,-35,24,62.8492695,-22.54131847,-89.05582601,21,0.32,0.22,-0.13,-46,121,-160,-503,375,-54,0,0,0,41,1.08,-1.45,-0.39,-291,278,-7,-709,320,605,"A"
"1120",125,-41.6,162,17,0.1,0.11,-0.2,44,51,-157,164,612,-300,-107,53.8,-142,25,0.22,-0.5,0.85,-239,-53,2,-172,258,636,41.12980482,-29.22324962,-105.5510208,17,0.11,-0.02,0.02,-49,68,-148,-579,235,52,0,0,0,45,1.19,0.87,1.36,-70,429,-44,-218,771,476,"A"
"16341",7.76,4.98,-92.1,1,-0.21,0.06,0.3,-7,1,-5,22,564,-397,62.8,-26.5,42.8,13,2.33,-1.43,0.51,-18,123,-37,566,106,400,-144.5898397,7.789918438,-9.742959723,5,-0.47,0.58,0.51,4,-51,-5,-632,97,-60,-157,37,-112,23,0.18,-3.76,-0.8,-84,-59,-203,-276,-480,140,"E"
"11019",0.82,5.12,-87.5,5,0.05,0,0,-13,1,44,61,631,-308,0,0,0,20,-3.24,1.12,-0.69,-112,130,-100,482,189,450,60.27325775,-48.08794136,-75.00371506,29,0.31,-0.03,-0.3,-133,163,-196,-506,349,50,128,-16,90.1,31,0,-0.03,0.03,191,155,-173,-7,680,742,"C"
"4445",114,22.7,-13.7,18,0.19,0.13,-0.15,-27,65,-160,16,604,-316,-83.5,-64.4,-73.6,32,0.26,-0.51,0.8,-300,-42,-80,-422,286,503,-113.5066935,-31.53400566,29.03450727,4,0.35,0.31,-0.25,-13,-38,12,-554,287,-133,12.6,18.6,-105,22,0.31,0.05,0.2,-191,106,-4,-406,738,515,"A"
"14434",0.97,4.3,-87.5,4,0.06,0,0.02,-12,3,42,49,626,-310,0,0,0,35,-0.03,-0.02,0.11,-257,173,-157,-294,455,427,49.02594853,-56.21203774,-77.96244865,31,0.13,0.27,0.03,-163,144,-215,-529,298,87,144,22.1,127,42,0.32,-1.53,-0.34,-160,342,-153,-633,551,650,"D"
"6708",0.64,6.23,-92.7,3,0.05,0,-0.03,-18,5,26,7,612,-285,101,-43,17.5,17,3.1,-1.49,0.13,73,94,-112,753,-12,120,118.3479726,16.3693021,34.77046754,14,0.48,-0.92,-0.16,22,125,46,-428,448,-20,142,-7.46,95.4,44,0.21,1,0.54,55,375,-205,-203,716,459,"B"
"315",124,27.6,-2.07,20,-0.48,-0.02,-0.51,-35,71,-175,-2,580,-381,-162,-71.5,34.7,36,1.72,-1.25,0.03,345,6,82,640,177,255,-10.13159954,23.82472522,131.1127929,9,0.26,-0.1,-0.36,21,-9,86,512,-534,-70,89.3,3.05,105,36,0.08,-0.03,0,147,252,-191,-152,739,574,"A"
"14452",1.12,4.57,-87.5,4,-0.02,-0.02,-0.02,-13,0,36,55,625,-318,0,0,0,35,0.02,0,0.02,-256,173,-156,-310,454,426,54.30198999,-50.01689028,-78.84036678,30,0.31,0.11,-0.3,-142,153,-210,-528,297,89,148,36.6,150,25,-0.72,2.1,0.11,-137,109,-166,-679,270,610,"D"
"5380",0.83,4.77,-87.6,4,-0.1,-0.02,-0.07,-10,2,36,61,579,-413,86.7,47.1,94.2,30,0.18,-0.06,0.15,-222,156,-117,-386,217,594,13.97886623,-56.9169642,98.04450098,39,0.03,0,0,-205,53,316,-423,233,315,-139,-67,79.9,37,-0.26,-0.61,0.34,-80,310,180,-427,960,-390,"A"
"15614",119,16.2,-1.09,18,0.1,0.13,-0.18,-19,60,-161,20,599,-328,-39.5,24.7,-93.1,28,0.67,-0.63,0.79,-267,-52,-16,-251,288,593,127.3028464,25.43096298,-15.1525554,2,0.1,-0.11,-0.25,5,19,-3,-431,447,-44,16.7,51.2,-62.3,24,-0.61,2.65,-0.21,-181,146,3,-534,706,607,"D"
"2648",1.42,7.52,-94.1,3,0.06,0.02,0,-16,3,26,-4,604,-308,-138,9.73,-167,34,0.02,0,-0.03,-288,111,-124,-368,335,510,96.08955077,10.26432443,59.86733817,2,0.34,0.35,-0.23,2,16,11,-526,346,-44,14.3,-63.7,-139,36,-0.02,-0.05,-0.05,195,199,-214,-10,658,483,"A"
"18784",154,-29.1,128,24,0.27,0.08,-0.67,53,43,-228,170,508,-474,-101,-29.3,75.5,45,0.92,-0.8,0.92,74,-197,-393,313,-162,-549,34.30893541,-29.06356327,-111.3073977,16,0.06,0.14,0.18,-46,54,-144,-610,117,72,0,0,0,27,0.79,1.94,0.77,-243,-103,-37,-29,-665,-28,"E"
"16456",3.24,5.74,-92.2,2,0.05,0.03,0.54,-15,-1,2,14,587,-351,72.2,13.2,96.5,28,-1.17,0.71,-0.64,-225,149,21,-227,345,552,-114.2018299,0,-42.87780274,8,-0.11,-0.13,-0.05,0,-70,-32,-622,125,-76,-148,11.1,-56.5,46,-1,-1.65,-1.16,201,-278,-293,342,-638,-202,"E"
"18337",-0.43,4.47,-87.8,5,0.06,0.02,0,-13,1,47,45,641,-303,0,0,0,36,-3.05,1.14,-0.21,108,12,-331,695,-175,-206,65.31077647,-47.41936957,-70.73307251,29,0.85,-0.71,0.02,-130,173,-185,-470,375,80,154,-5.75,87.8,31,0.08,0,-0.02,192,169,-170,-55,701,796,"E"
"9891",1.31,1.91,-88.4,3,0.02,0,-0.07,-1,7,27,34,575,-432,94.9,9.93,110,33,-2.06,0.8,-0.05,-235,225,-32,-380,323,524,-101.5169348,-38.22207697,-38.22207697,5,-0.03,-0.24,0.08,-18,-41,-18,-504,126,275,174,12.7,-4.89,22,-0.35,-0.13,0.3,134,-34,162,500,-470,-23,"C"
"13009",121,25.1,-6.18,19,-0.34,-0.05,-0.39,-40,73,-168,12,581,-369,80.7,-11.9,40.9,32,-0.18,-0.1,0.23,273,8,147,418,232,495,-9.807408869,22.71575094,132.2684089,10,0.63,0.02,-0.54,23,-10,99,521,-521,-19,119,7.17,88.2,34,-0.43,1.43,-0.11,90,274,-168,-287,789,695,"D"
"614",123,26.1,-3.69,19,-0.43,-0.03,-0.44,-41,71,-169,0,591,-377,-21.3,47.4,-40.7,32,-2.57,0.56,0.16,292,-6,101,643,163,278,-16.31582248,34.81018435,118.3361243,6,0.75,-0.08,-0.57,21,-10,57,537,-504,-105,138,64.6,143,28,0.43,-2.59,-0.59,-91,209,-154,-697,424,564,"A"
"8406",116,16.2,-5.22,17,0.05,0.14,-0.16,-21,61,-157,28,600,-312,-44,24.7,-99.8,30,-1.81,0.11,0.9,-291,-19,25,-263,311,578,97.67888716,41.4960193,39.87013635,14,0,0.55,0.1,54,111,52,-224,587,-66,-49.4,-14.4,126,52,-0.14,0.39,0.03,-328,-384,-32,-69,-647,-84,"B"
"18841",133,-37.8,140,17,0.27,0.08,-0.43,38,33,-156,184,608,-283,-12.3,5.34,-68.3,22,2.6,-1.38,0.74,-207,-3,51,107,342,557,110.7817801,39.04369242,-23.5878393,31,0.31,-0.37,-0.38,114,268,-70,61,599,122,0,0,0,36,0.98,0.88,0.48,48,349,-51,47,665,536,"E"
"9982",1.37,1.16,-88.1,2,0.02,0,-0.05,0,3,23,25,568,-423,97.9,-37.5,17.8,19,2.28,-0.48,0.39,113,79,-128,709,-55,176,33.07842911,-26.28439994,-114.183373,2,0,0.24,0.13,-4,5,-14,-496,164,265,169,9.98,-26.8,25,-0.43,-0.82,0.51,135,-106,171,506,-635,42,"C"
"19062",147,24,17,25,-0.64,0,-0.16,-16,78,-232,0,476,-519,139,8.76,130,10,0.08,0.1,-0.77,28,4,90,-543,314,382,-17.76673091,6.878414845,138.0013174,10,0.02,-1.08,0.25,7,-18,100,406,-622,-48,158,12.6,138,50,0.55,-4.8,-0.02,-17,470,-139,-600,639,591,"E"
"13912",11.1,-0.71,-78.8,3,0.18,-0.11,-0.18,9,6,-32,110,412,-583,89,3.26,104,35,-3.68,1.01,-0.31,-268,213,-21,-217,285,618,-17.81627196,-34.13420909,-118.2329778,5,0.11,-0.27,0.3,-17,-9,-47,-577,127,151,-176,13,86.6,44,-0.31,3.55,1.1,-61,390,166,-410,1010,-503,"D"
"7536",126,-43.5,164,18,0.11,0.11,-0.15,50,44,-160,162,603,-292,-9.62,-59.7,-2.25,27,-2.2,0.16,1.08,106,-141,-201,686,-130,-279,62.37416131,-27.69232513,-86.99086952,16,-0.06,0.32,0.2,-44,94,-123,-548,274,75,0,0,0,54,1.17,1.49,1.57,-92,522,-61,-265,807,636,"B"
"11292",126,-41.4,165,18,0.11,0.11,-0.21,48,45,-162,172,602,-315,34.2,44.8,-19.7,25,1.8,-1.75,0.87,-245,41,27,-156,462,442,46.6540067,-14.02021873,-108.0364852,23,-0.13,0.08,0.13,-32,103,-202,-579,276,-32,0,0,0,44,0.88,1.24,0.8,-22,431,-24,-152,788,641,"C"
"284",127,28,0.3,20,-0.43,-0.02,-0.48,-41,69,-180,-6,574,-371,-1.42,-35.7,-130,15,-1.64,0.47,-0.13,72,27,125,-72,306,598,-30.92261902,13.22579446,123.2727783,10,0.47,-0.1,-0.23,13,-30,93,486,-568,-31,80.6,-1.52,108,34,0.06,-0.37,0.13,170,236,-162,-131,746,687,"A"
"715",124,-43.7,178,19,0.19,0.1,-0.11,46,46,-170,200,582,-355,-159,74.8,51.1,23,0.79,-0.58,0.94,-214,-58,36,-103,211,655,49.45904565,-27.86870068,-99.00777499,19,0.14,0.1,-0.15,-51,88,-155,-570,259,50,0,0,0,12,1.33,-0.16,0.85,71,94,32,627,-263,92,"A"
"18030",5.48,-0.28,-83.1,2,0.22,-0.32,-0.64,-5,4,21,84,596,-384,0,0,0,13,0.29,-0.08,0.03,-11,123,-33,442,159,497,52.50949278,-52.50949278,-78.28045056,30,0.37,0.13,-0.41,-145,145,-204,-531,303,54,169,37.7,-177,23,-1.3,5.52,0.36,-41,125,-185,-649,120,539,"E"
"3206",1.4,7.65,-93,3,0.02,0,-0.03,-19,4,27,10,603,-299,121,-53.5,-33.2,32,-1.77,0.88,-0.46,137,-15,-279,736,-202,-148,32.17505544,0,124.9045772,2,0,0.02,0,0,5,15,-550,303,-30,-55.1,73.3,3.9,26,0.26,0.98,0.64,-98,-168,-157,-401,-347,288,"A"
"13171",122,25.2,-4.01,19,-0.45,-0.03,-0.49,-41,68,-170,5,585,-363,32.1,48.1,-18.9,35,1.83,-1.19,-0.03,320,8,130,609,225,297,-39.29002588,14.69191759,114.8450209,9,0.16,0.31,-0.44,13,-34,81,489,-558,-94,-150,44.2,-123,30,0.35,-1.8,-0.41,-115,-159,-213,-357,-446,114,"D"
"9589",122,25.5,-4.63,20,-0.4,-0.02,-0.43,-41,69,-175,15,583,-360,22.2,-51.2,-119,24,1.56,-0.85,0.21,194,35,130,385,263,489,-7.026168326,22.24714017,133.7135542,10,0.5,-0.05,-0.3,22,-7,97,517,-528,-10,147,0.94,108,38,-0.08,-1.83,-0.56,71,320,-173,-346,771,610,"C"
"17574",1.45,4.25,-86.2,3,0.03,0.02,-0.02,-13,3,28,70,575,-423,114,-25,-32.8,37,3.34,-1.01,-0.07,111,52,-337,594,-174,-343,69.13980153,42.39504455,70.93318409,15,0.27,-0.56,-0.08,60,93,95,-248,302,398,-178,8.38,121,35,-0.16,-0.19,0.26,-141,240,199,-755,1200,-564,"E"
"18071",-1.24,1.16,-86.5,2,-0.1,-0.32,-0.74,-7,-23,-2,48,626,-319,0,0,0,13,-0.1,0.03,0,-23,127,-27,415,171,506,49.69371556,-52.5069619,-80.68532423,29,0.45,0.11,-0.59,-143,136,-206,-516,324,72,155,22.4,159,26,-1.3,4.87,0.52,-52,180,-175,-683,366,660,"E"
"8931",0.94,6.07,-88,4,-0.05,0,-0.02,-15,-1,36,46,632,-304,0,0,0,23,-3.26,1.75,-0.74,-113,192,-57,428,265,431,70.15140225,-42.63400203,-69.74197341,33,1.04,-0.34,-1.87,-132,206,-205,-500,365,16,131,-32.6,87.3,31,0.05,-0.03,-0.03,193,159,-174,-26,679,803,"B"
"8576",117,16.3,-5.8,18,0.08,0.11,-0.16,-18,63,-162,15,597,-317,-54.3,-29.8,0.52,23,2.87,-1.72,0.84,96,-108,-168,730,-11,-16,57.74699514,99.18793905,3.640176499,3,0.11,0.87,0.16,23,15,1,-239,575,-44,25.2,4.76,-76.8,18,0.37,-1.3,-0.28,-9,172,56,-104,726,641,"B"
"11301",126,-41.6,165,18,0.11,0.11,-0.16,46,44,-160,174,603,-310,31.1,65.9,-26.1,33,0.29,-0.47,0.92,-309,-61,-65,-415,448,405,46.2264958,-27.80146454,-101.9658885,18,-0.11,-0.08,-0.26,-48,78,-149,-549,295,68,0,0,0,55,1.41,-1.33,-0.13,-72,531,6,-265,822,696,"C"
"13284",122,25.2,-4.99,20,-0.48,-0.02,-0.46,-39,70,-175,14,578,-376,8.99,-42.4,-16.2,42,2.06,-1.32,0,405,-70,-66,748,25,-37,-24.5,15.2,128.1,10,0.45,-0.08,-0.25,15,-24,95,474,-574,-64,-136,37.6,-101,30,-0.35,0.26,-0.03,-58,-217,-195,-215,-543,98,"D"
"563",123,25.7,-3.06,19,-0.37,-0.05,-0.43,-44,70,-171,3,592,-367,177,44.4,115,18,1.85,-1.11,0.16,97,51,141,49,358,563,-7.531826134,19.47206442,136.166636,9,0.55,-0.14,-0.25,18,-7,91,544,-515,-68,95.3,57,86.3,30,-0.58,2.14,0.39,-59,273,-90,-647,631,778,"A"
"9356",1.49,6.01,-92.8,3,-0.05,0,0,-15,1,22,0,609,-307,65.6,-1.03,83.8,27,1.96,-0.71,-0.1,-211,155,-11,10,298,597,-131.0503741,-25.86639632,-2.842484873,4,-0.05,-0.08,0,-9,-34,-1,-586,234,-17,116,-16.3,108,39,-0.13,1.88,-0.11,104,289,-233,-250,718,465,"B"
"16477",-5.37,4.43,-92.2,4,0.02,-0.02,0.15,-18,-2,37,-4,630,-232,74.7,-13.3,60.5,22,3.02,-1.51,0.15,-114,173,52,342,229,510,83.20435868,30.210108,64.85978043,11,0.67,-0.93,0.3,33,82,67,-410,427,82,-151,26.4,-91.4,27,0.31,-2.55,-0.9,-29,-156,-217,-47,-592,84,"E"
"6905",0.91,6.01,-90.9,3,0.05,0.03,-0.05,-15,3,22,34,607,-312,68.2,-18.8,65.3,24,-3.98,1.4,-0.9,-161,158,48,342,172,532,37.18525216,17.58472947,115.5714864,8,-0.02,-0.05,0,13,27,68,-482,347,123,-147,25.9,-63,40,-0.1,-0.29,-0.44,57,-288,-262,193,-707,-204,"B"
"16726",126,28.1,-5.16,21,-0.39,-0.05,0.46,-35,66,-195,-18,562,-404,22.6,3.12,-34.5,21,0.63,-0.42,-0.16,174,14,104,197,328,546,-37.03970194,19.98356028,114.5223428,9,0.1,0.16,-0.28,17,-31,78,476,-572,-80,132,34.3,122,37,-0.1,0.29,-0.08,-138,284,-187,-636,545,501,"E"
"11304",126,-41.5,165,18,0.11,0.11,-0.16,48,44,-160,169,596,-301,30.5,66.6,-29.5,31,0.31,-0.59,1,-293,-55,-75,-412,452,397,54.68064626,-34.16971654,-90.38597929,18,-0.11,-0.13,-0.18,-58,90,-136,-545,283,87,0,0,0,55,1.62,-2.07,-0.33,-102,531,25,-380,829,746,"C"
"19149",0.61,5.84,-88.8,5,0.06,0,-0.02,-15,4,45,39,636,-311,0,0,0,39,-2.99,1.62,-0.89,-296,247,-5,-165,429,487,48.28024505,-53.64051288,-80.86949373,28,0.32,0.19,-0.28,-142,129,-201,-521,292,113,146,-2.2,91.6,30,-0.1,0.18,0.07,198,153,-156,-54,699,854,"E"
"19348",1.92,2.67,-86.2,2,0.02,0,0,-7,3,22,53,566,-422,83.3,-9.52,53.6,17,2.79,-0.67,0.07,-27,168,-14,424,118,503,58.5189952,25.46974724,91.83812443,11,-1,0.74,0.25,26,57,82,-373,266,336,-179,19.3,-78.3,28,-0.05,-2.25,-0.13,61,-202,174,284,-831,127,"E"
"12225",120,14.2,2.01,18,0.14,0.11,-0.16,-20,62,-161,33,598,-336,-43,22.1,-87.2,27,1.43,-0.83,0.84,-252,-66,19,-160,248,630,-99.18793905,-57.74699514,3.640176499,8,-0.03,0.26,-0.11,-45,-69,3,-466,410,-16,-33.6,44,-137,43,-0.06,0.79,0.16,-416,-32,15,-694,301,453,"C"
"10815",0.96,4.78,-87.8,4,0.1,0,-0.02,-12,3,40,49,630,-307,0,0,0,36,0.08,0.1,0,-267,183,-134,-396,419,426,47.89903981,-55.0444487,-79.93882951,28,0.1,0.13,0.13,-143,126,-196,-549,253,89,139,17.3,135,32,0.72,-4.17,-0.13,83,249,-172,-572,665,707,"C"
"19410",140,19.4,17.7,24,-0.42,-0.05,-1,-50,66,-220,0,528,-460,111,23.3,75.8,24,-4.87,1.09,-0.34,12,69,221,130,294,580,-11.90211897,20.65628314,133.1530341,9,0.71,0.13,-0.44,19,-11,90,574,-458,-51,171,23.3,-123,24,0.71,-4.06,-1.79,4,-93,-215,-240,-576,-97,"E"
"3267",0.4,5.27,-88,5,0.02,0,0,-16,5,45,51,639,-295,0,0,0,37,-0.02,0,0.03,-275,158,-182,-409,423,413,55.87028338,-50.67510137,-76.88491295,30,0.35,0.14,-0.36,-141,154,-202,-522,334,48,53.8,-46.8,160,33,-0.03,0.16,-0.05,218,111,-205,117,564,654,"A"
"11599",127,-41.5,161,17,0.1,0.11,-0.16,50,44,-158,164,601,-311,-9.83,34.1,-75.5,27,0.79,-0.66,0.8,-257,-37,-9,-231,320,572,54.65737387,-27.54386863,-94.39195291,17,-0.1,0.24,0.38,-45,86,-134,-522,323,38,0,0,0,45,0.47,2.89,0.31,-168,410,-8,-501,782,708,"C"
"19522",-6.93,1.92,-92.2,3,-0.19,-0.11,-0.67,-23,3,15,-7,617,-257,87,-22.1,50.1,19,2.94,-1.48,0.21,-52,180,34,495,175,418,89.26736196,32.94956798,56.74084483,19,0.18,-0.27,-0.13,59,142,98,-226,510,187,-179,43.6,-139,22,-0.08,-3.39,-1.61,-89,-21,-198,-459,-275,312,"E"
"152",0.93,7.03,-93.8,3,0.03,0,-0.03,-20,3,25,-4,601,-308,-135,14.1,-164,34,0.03,0,-0.03,-290,110,-122,-373,333,516,54.35838085,16.23391547,-99.813275,3,0.8,4.37,-0.44,5,16,-26,-526,351,-103,19.5,-63.5,-143,36,0.02,0,-0.03,194,203,-213,-8,652,473,"A"
"232",129,27.9,2.08,21,-0.45,-0.02,-0.43,-43,70,-184,4,567,-402,-2.61,-1.83,-38.4,3,-0.21,-0.26,0.23,1,-10,24,-394,322,509,-24.23737626,14.45070227,128.7111958,11,0.5,-0.08,-0.3,15,-25,100,484,-556,-18,78,-1.84,108,30,0.08,0.11,-0.21,156,195,-160,-146,765,736,"A"
"3880",-0.21,3.77,-89.2,6,0.05,0,-0.03,-22,-1,50,29,632,-293,0,0,0,21,-2.86,1.48,-0.56,-78,168,-78,500,215,413,55.19662051,-50.37250767,-77.74509846,29,0.43,0.06,-0.79,-139,151,-202,-558,296,-2,119,48.7,153,26,0.56,-3.05,-0.11,-138,127,-179,-676,261,616,"A"
"16102",158,-29.1,129,25,0.13,0.1,-0.15,58,39,-233,143,486,-512,-75.3,-36.9,29.9,29,-2.81,0.31,1.36,68,-132,-238,665,-90,-324,80.4424968,-19.01088253,-73.05580054,17,0.42,-0.26,-0.03,-32,122,-113,-522,304,85,0,0,0,56,1.33,-2.95,-0.08,-12,547,-27,-413,792,630,"E"
"7815",125,-44.8,169,18,0.11,0.11,-0.2,41,47,-160,183,600,-311,29.4,-60.7,-17.6,26,3.66,-2.04,0.97,102,-114,-201,717,-26,-224,81.67802475,-23.56657063,-69.90909798,18,-0.34,0.96,-0.02,-41,128,-113,-463,371,112,0,0,0,39,0.9,0.77,0.57,25,385,-20,-49,729,640,"B"
"17953",-2.42,10.5,-88.6,3,0.39,0.1,-0.05,-23,-23,-8,105,582,-418,85.3,-52.6,-5.11,18,-4.14,0.29,0.16,89,52,-147,732,-156,-72,56.16013707,12.7138017,99.15074728,4,-0.31,0.14,0.08,5,21,33,-471,186,273,-78.3,32.8,162,37,-0.18,-0.35,0.21,-188,205,226,-1250,1420,-945,"E"
"13559",119,16.9,0.12,18,0.11,0.13,-0.23,-22,64,-160,30,602,-331,-38.6,-3.71,-53.1,13,-0.9,-0.19,0.84,-75,-59,90,362,156,555,103.1814573,45.57310256,-26.72409253,5,0.02,0.05,-0.07,20,39,-12,-317,534,-89,61.5,61.5,0.48,35,-0.03,-0.37,-0.31,-301,166,26,-555,668,568,"D"
"17221",130,10.4,52.2,17,0.08,0.02,-0.98,-16,52,-155,11,615,-299,-72.1,-24.9,34,36,0,-0.5,0.87,167,-181,-257,615,-192,-293,71.4990268,-9.379605225,-84.69570726,2,-0.03,-0.02,-0.16,-2,14,-16,-250,568,-41,-71,15.4,-170,49,0.19,-1.38,-0.08,-442,-175,-25,-526,-225,89,"E"
"12649",121,25,-5.25,19,-0.37,-0.03,-0.43,-38,73,-166,5,594,-347,130,-49,38.4,36,-0.42,-0.43,0.1,343,-48,-41,712,121,169,-13.9312965,19.05086031,133.376511,8,0.4,0.05,-0.18,15,-11,77,535,-516,-64,140,-2.58,91.9,36,0.08,0.14,-0.05,66,287,-189,-254,770,602,"C"
"7074",0.48,5.27,-88.1,4,0.08,0.03,0.02,-13,0,35,49,634,-303,0,0,0,35,0.02,-0.1,-0.07,-252,175,-149,-322,448,425,56.86631966,-58.38638661,-69.09704502,32,1.09,-0.58,-1.69,-173,169,-200,-501,339,93,134,-6.5,78.6,41,-1.27,3.12,0.71,250,307,-92,-141,749,921,"B"
"16716",1,8.24,-93.1,4,0.06,0,-0.07,-20,2,28,14,609,-309,92.3,-9.9,71.8,26,3.45,-1.54,-0.05,-172,180,-26,207,273,551,-60.76912542,1.784387116,-96.27655217,6,0,0.03,0.13,1,-32,-46,-585,213,-159,148,42.7,118,36,-0.13,0.66,-0.05,-55,276,-207,-538,741,747,"E"
